47929,93450
52380,53266
70291,96809
13028,70291
53266,86265
53266,94018
7623,75834
30847,61540
70291,94018
53266,70291
26865,63688
15714,63688
33366,62897
54719,63973
51233,80238
63973,77806
32556,61540
19215,53266
53266,70559
47929,100053
36041,70291
2740,58327
47929,98667
94018,96809
50546,68130
15714,69096
61933,64420
35854,50546
49458,101403
78972,91351
7623,61540
40032,92294
42842,71302
32545,47929
7623,35418
37358,50546
18913,49458
24207,92294
29806,38298
38298,61540
33366,54719
47929,58327
